Codebook: The Performance of Creative AI Systems;;;;;
;;;;;
ID and Consent;;;;;
F212;hum_pp1_12;;;;
F213;hum_pp1_13;;;;
F214;hum_pp1_14;;;;
F215;hum_pp1_15;;;;
F216;hum_pp1_16;;;;
F217;hum_pp1_17;;;;
F218;hum_pp1_18;;;;
F219;hum_pp1_19;;;;
F220;hum_pp1_20;;;;
F221;hum_pp1_21;;;;
F222;hum_pp1_22;;;;
F223;hum_pp1_23;;;;
F224;hum_pp1_24;;;;
F225;hum_pp1_25;;;;
F226;hum_pp1_26;;;;
F227;hum_pp1_27;;;;
F228;hum_pp1_28;;;;
F229;hum_pp1_29;;;;
F301;gpt_pp2_1;;;;
F302;gpt_pp2_2;;;;
F303;gpt_pp2_3;;;;
F304;gpt_pp2_4;;;;
F305;gpt_pp2_5;;;;
F306;gpt_pp2_6;;;;
F307;gpt_pp2_7;;;;
F308;gpt_pp2_8;;;;
F309;gpt_pp2_9;;;;
F310;gpt_pp2_10;;;;
F311;gpt_pp2_11;;;;
F312;gpt_pp2_12;;;;
F313;gpt_pp2_13;;;;
F314;gpt_pp2_14;;;;
F315;gpt_pp2_15;;;;
F316;gpt_pp2_16;;;;
F317;gpt_pp2_17;;;;
F318;gpt_pp2_18;;;;
F319;gpt_pp2_19;;;;
F320;gpt_pp2_20;;;;
F321;gpt_pp2_21;;;;
F322;gpt_pp2_22;;;;
F323;gpt_pp2_23;;;;
F324;gpt_pp2_24;;;;
F325;gpt_pp2_25;;;;
F326;gpt_pp2_26;;;;
F327;gpt_pp2_27;;;;
F328;gpt_pp2_28;;;;
F329;gpt_pp2_29;;;;
F330;gpt_pp2_30;;;;
F331;gpt_pp2_31;;;;
F332;gpt_pp2_32;;;;
F333;gpt_pp2_33;;;;
F334;gpt_pp2_34;;;;
F335;gpt_pp2_35;;;;
F336;gpt_pp2_36;;;;
F337;magenta_pp2_1;;;;
F338;magenta_pp2_2;;;;
F339;magenta_pp2_3;;;;
F340;magenta_pp2_4;;;;
F341;magenta_pp2_5;;;;
F342;magenta_pp2_6;;;;
F343;magenta_pp2_7;;;;
F344;magenta_pp2_8;;;;
F345;magenta_pp2_9;;;;
F346;magenta_pp2_10;;;;
F347;magenta_pp2_11;;;;
F348;magenta_pp2_12;;;;
F349;magenta_pp2_13;;;;
F350;magenta_pp2_14;;;;
F351;magenta_pp2_15;;;;
F352;magenta_pp2_16;;;;
F353;magenta_pp2_17;;;;
F354;magenta_pp2_18;;;;
F355;magenta_pp2_19;;;;
F356;magenta_pp2_20;;;;
F357;magenta_pp2_21;;;;
F358;magenta_pp2_22;;;;
F359;magenta_pp2_23;;;;
F360;magenta_pp2_24;;;;
F361;magenta_pp2_25;;;;
F401;hum_pp2_1;;;;
F402;hum_pp2_2;;;;
F403;hum_pp2_3;;;;
F404;hum_pp2_4;;;;
F405;hum_pp2_5;;;;
F406;hum_pp2_6;;;;
F407;hum_pp2_7;;;;
F408;hum_pp2_8;;;;
F409;hum_pp2_9;;;;
F410;hum_pp2_10;;;;
F411;hum_pp2_11;;;;
F412;hum_pp2_12;;;;
F413;hum_pp2_13;;;;
F414;hum_pp2_14;;;;
F415;hum_pp2_15;;;;
F416;hum_pp2_16;;;;
F417;hum_pp2_17;;;;
F418;hum_pp2_18;;;;
F419;hum_pp2_19;;;;
F420;hum_pp2_20;;;;
F421;hum_pp2_21;;;;
F422;hum_pp2_22;;;;
F423;hum_pp2_23;;;;
F424;hum_pp2_24;;;;
F425;hum_pp2_25;;;;
F426;hum_pp2_26;;;;
F427;hum_pp2_27;;;;
F428;hum_pp2_28;;;;
